METRO CHEF,96654,"METRO Chef Салат Рукола и радичио, 125г",/products/metro-chef-rukkola-radichio-125-g-96654,149,149
METRO CHEF,99055,"METRO Chef Петрушка, 70г",/products/petrushka-metro-chef-70g,69,69
METRO CHEF,99057,"METRO Chef Лук зеленый, 70г",/products/luk-metro-chef-70g,64,64
METRO CHEF,131623,"METRO Chef Лимонная трава, 100г",/products/100g-limonnaya-trava-metro-chef,179,179
METRO CHEF,219614,"METRO Chef Салат в горшочке, 75г",/products/salat-v-gorshochke-metro-chef-219614,89,89
METRO CHEF,620432,"METRO Chef Петрушка, 250г",/products/petrushka-metro-chef-250-g,179,179
METRO CHEF,111703,"METRO Chef Салат Фриллис в горшочке, 75г",/products/frillis-v-gorshochke-metro-chef,109,129
METRO CHEF,111692,"METRO Chef Мята пряная в горшочке, 20г",/products/myata-pryanaya-v-gorshochke-metro-chef,119,119
METRO CHEF,96649,"METRO Chef Мята, 50г",/products/myata-metro-chef-50-g-96649,69,69
METRO CHEF,96627,"METRO Chef Базилик красный, 50г",/products/bazilik-metro-chef-krasnyj-50-g-96627,182,182
METRO CHEF,96658,"METRO Chef Салат Мангольд, 125г",/products/metro-chef-mangold-125-g-96658,159,159
METRO CHEF,105551,"METRO Chef Лук-резанец, 50г",/products/luk-rezanec-metro-chef-50g,199,199
METRO CHEF,96631,"METRO Chef Тимьян лимонный, 50г",/products/art-96631,159,159
METRO CHEF,99108,"METRO Chef Салат Bull's Blood, 125г",/products/bulls-blood-metro-chef-125g,169,169
METRO CHEF,99052,"METRO Chef Сельдерей, 70г",/products/selderej-metro-chef-70g,149,149
METRO CHEF,111702,"METRO Chef Салат Рукола в горшочке, 25г",/products/rukkola-v-gorshochke-metro-chef,119,119
METRO CHEF,102260,"METRO Chef Салат корн+радичио, 125г",/products/metro-chef-korn-radichio-125g,179,179
METRO CHEF,99111,"METRO Chef Салат Рукола, корн и радичио, 125г",/products/rukkola-korn-radichio-metro-chef-125g,179,179
METRO CHEF,99110,"METRO Chef Салатная смесь Рукола и корн, 125г",/products/miks-metro-chef-rukola-korn-125-g,179,179
METRO CHEF,96645,"METRO Chef Базилик зеленый, 300г",/products/art-96645,699,699
METRO CHEF,96655,"METRO Chef Салат Месклам, 125г",/products/metro-chef-mesklam-125-g-96655,149,149
METRO CHEF,96657,"METRO Chef Салат Рукола, 125г",/products/metro-chef-rukola-125-g-96657,147,147
METRO CHEF,102090,"METRO Chef Тимьян, 50г",/products/timyan-metro-chef-50-g-102090,149,149
METRO CHEF,111695,"METRO Chef Салат Дуболистный зеленый в горшочке, 75г",/products/dubolistnyj-v-gorshochke-metro-chef,129,129
METRO CHEF,236540,"METRO Chef Розмарин, 50г",/products/50g-rozmarin-metro-chef,159,159
METRO CHEF,96660,"METRO Chef Эстрагон, 50г",/products/estragon-metro-chef-50-g-96660,199,199
METRO CHEF,111696,"METRO Chef Салат Дуболистный красный в горшочке, 75г",/products/dubolistnyj-krasnyj-v-gorshochke-metro-chef,129,129
METRO CHEF,111687,"METRO Chef Базилик премиум в горшочке, 25г",/products/bazilik-premium-v-gorshochke-metro-chef,129,129
METRO CHEF,96635,"METRO Chef Розмарин, 300г",/products/art-96635,549,549
METRO CHEF,236541,"METRO Chef Розмарин, 300г",/products/300g-rozmarin-metro-chef,549,549
SUPERFOOD FARM,118030,"Салат Superfood Farm Спайки, 150г",/products/125g-spajki,229,229
SUPERFOOD FARM,357108,"Салат Superfood Farm Мизуна, 125г",/products/mizuna-125gr,229,229
SUPERFOOD FARM,647022,"Салат Superfood Farm Тосканский кейл, 190г",/products/salat-kejl-toskanskij-190g,229,229
SUPERFOOD FARM,124010,"Салат Superfood Farm Красный Бостон, 150г",/products/oklif-kochannyj-200g-124010,229,229
SUPERFOOD FARM,256026,"Салат Superfood Farm Рэд Оак, 140г",/products/salat-superfood-farm-red-oak-140g,229,229
SUPERFOOD FARM,256017,"Салат Superfood Farm Оак лиф, 120г",/products/salat-superfood-farm-oak-lif-120g,229,229
SUPERFOOD FARM,256022,"Салат Superfood Farm Кику, 140г",/products/salat-superfood-farm-kiku-140g,229,229
SUPERFOOD FARM,256019,"Салат Superfood Farm Рэд Крисп, 120г",/products/salat-superfood-farm-red-krisp-120g,229,229
SUPERFOOD FARM,299448,"Салат Superfood Farm Романо мини, 140г",/products/bebi-rem-299448,229,229
SUPERFOOD FARM,643578,"Салат Superfood Farm Кьюти Пай, 120г",/products/kyuti-paj-160g,229,229
БЕЛАЯ ДАЧА,104655,"Салатная смесь Белая Дача Тоскана фриссе, романо, радиччо, 200г",/products/miks-belaya-dacha-toskana-200-g,239,239
